original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
She is a sea captain.,তিনি একজন সমুদ্র অধিনায়ক।,He is a sea captain.,તે સમુદ્ર કેપ્ટન છે.,He is the sea captain.,वह एक समुद्री कप्तान है।,He is a sea captain.,ಅವಳು ಸಮುದ್ರ ಕ್ಯಾಪ್ಟನ್.,She is a sea captain.,അവൾ ഒരു കടൽ ക്യാപ്റ്റനാണ്.,She is a sea captain.,ती समुद्री कर्णधार आहे.,She is a sea captain.,उनी समुद्री कप्तान हुन्।,He is a sea captain.,ਉਹ ਸਮੁੰਦਰੀ ਕਪਤਾਨ ਹੈ।,He is the captain of the sea.,هوءَ سمنڊ جي ڪپتان آهي.,She is the captain of the sea.,அவள் கடல் கேப்டன்.,She is the captain of the sea.,ఆమె సీ కెప్టెన్.,She is the Sea Captain.,وہ سمندری کپتان ہیں۔,He is a sea captain.
She is a secretary.,সে একজন সচিব.,He is a secretary.,તે સેક્રેટરી છે.,She is the secretary.,वह एक सेक्रेटरी है।,she is a secretary.,ಅವಳು ಕಾರ್ಯದರ್ಶಿ.,She is the secretary.,അവർ ഒരു സെക്രട്ടറിയാണ്.,They are a secretary.,ती एक सचिव आहे.,She is a secretary.,उनी एक सचिव हुन्।,He is a secretary.,ਉਹ ਸੈਕਟਰੀ ਹੈ।,She is the secretary.,هوءَ سيڪريٽري آهي.,She's the secretary.,அவள் ஒரு செயலாளர்.,She is a secretary.,ఆమే సహయకురాలు.,She is an assistant.,وہ خاتون ایک سیکریٹری ہیں.,That lady is a secretary.
She is a singer.,তিনি একজন শিল্পী.,He is an artist.,તે એક ગાયિકા છે.,She is a singer.,वह एक गायिका है।,She is a singer.,ಅವಳು ಗಾಯಕಿ.,She's a singer.,അവൾ ഒരു ഗായികയാണ്.,She is a singer.,ती गायिका आहे.,She is a singer.,उनी एक गायक हुन्।,He is a singer.,ਉਹ ਇਕ ਗਾਇਕਾ ਹੈ।,She is a singer.,هوء ڳائڻي آهي.,She is singing,அவள் ஒரு பாடகி.,She is a singer.,ఆమె గాయని.,She is a singer.,وہ ایک گلوکارہ ہیں۔,She is a singer.
She is a solicitor.,তিনি একজন আইনজীবী।,He is a lawyer.,તે એક વકીલ છે.,He is a lawyer.,वह एक वकील हैं।,He is a lawyer.,ಅವಳು ಸಾಲಿಸಿಟರ್.,She is a solicitor.,അവൾ ഒരു അഭിഭാഷകയാണ്.,She is a lawyer.,ती एक वकील आहे.,She is a lawyer.,उनी एक वकिल हुनुहुन्छ।,He is a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ.,He is a lawyer.,هوءَ هڪ وڪيل ڇوڪري آهي.,She is a lawyer girl,அவள் ஒரு வழக்குரைஞர்.,She is a lawyer.,ఆమె ఒక న్యాయవాది.,She is a lawyer.,وہ ایک وکیل ہے۔,He is a lawyer.
She is a speech pathologist.,তিনি একজন স্পিচ প্যাথলজিস্ট।,He is a speech pathologist.,તે ભાષણ રોગવિજ્ .ાની છે.,He is a speech pathologist.,वह एक स्पीच पैथोलॉजिस्ट हैं।,He is a Speech Pathologist.,ಅವಳು ಸ್ಪೀಚ್ ಪ್ಯಾಥಾಲಜಿಸ್ಟ್.,She is a speech pathologist.,അവൾ ഒരു സ്പീച്ച് പാത്തോളജിസ്റ്റാണ്.,She is a speech pathologist.,ती एक भाषण पॅथॉलॉजिस्ट आहे.,She is a speech pathologist.,उनी एक भाषण रोगविज्ञानी हुन्।,He is a speech pathologist.,ਉਹ ਸਪੀਚ ਪੈਥੋਲੋਜਿਸਟ ਹੈ.,He is a speech pathologist.,هوءَ تقرير جي بيماري جو ماهر آهي.,She is a speech therapist.,அவள் பேச்சு நோயியல் நிபுணர்.,She is a speech pathologist.,ఆమె స్పీచ్ పాథాలజిస్ట్.,She is a speech pathologist.,وہ اسپیچ پیتھالوجسٹ ہیں۔,He is a speech pathologist.
She is a speech-language pathologist.,তিনি একজন স্পিচ-ভাষা রোগ বিশেষজ্ঞ is,He is a speech-language pathologist,તે ભાષણ ભાષાના પેથોલોજિસ્ટ છે.,He is a pathologist of speech language.,वह एक भाषण-भाषा रोगविज्ञानी है।,He is a speech-language pathologist.,ಅವಳು ಭಾಷಣ-ಭಾಷೆಯ ರೋಗಶಾಸ್ತ್ರಜ್ಞ.,She is a speech-language pathologist.,അവൾ ഒരു സ്പീച്ച്-ലാംഗ്വേജ് പാത്തോളജിസ്റ്റാണ്.,She is a speech-language pathologist.,ती भाषण भाषेतील पॅथॉलॉजिस्ट आहे.,She is a pathologist in speech language.,उनी एक भाषण भाषा रोगविज्ञानी हुन्।,He is a speech linguist.,ਉਹ ਭਾਸ਼ਣ ਦੀ ਭਾਸ਼ਾ ਦਾ ਇਕ ਰੋਗ ਵਿਗਿਆਨੀ ਹੈ.,He is a pathologist of speech language.,هوءَ تقرير-ٻولي جي ماھر ڊاڪٽر آھي.,She is a speech-language therapist.,அவள் பேச்சு மொழி நோயியல் நிபுணர்.,She is a spoken language pathologist.,ఆమె స్పీచ్-లాంగ్వేజ్ పాథాలజిస్ట్.,She is a speech-language pathologist.,وہ اسپیچ لینگویج ماہر نفسیات ہیں۔,She is a speech language psychologist.
She is a statistician.,তিনি একজন পরিসংখ্যানবিদ।,He is a statistician.,તે આંકડાશાસ્ત્રી છે.,He is a statistician.,वह एक सांख्यिकीविद् हैं।,He is a statistician.,ಅವಳು ಸಂಖ್ಯಾಶಾಸ್ತ್ರಜ್ಞ.,She is a statistician.,അവൾ ഒരു സ്ഥിതിവിവരക്കണക്കാണ്.,She is a statistician.,ती एक सांख्यिकीविज्ञान आहे.,She is a statistician.,उनी सांख्यिकीविद् हुन्।,He is a statistician.,ਉਹ ਇੱਕ ਅੰਕੜਾ ਹੈ.,That's a statistic.,هوء هڪ شمارياتي شخص آهي.,She is a statistician.,அவள் ஒரு புள்ளிவிவர நிபுணர்.,She is a statistician.,ఆమె గణాంకవేత్త.,She is a statistician.,وہ ایک شماریات دان ہے۔,He is a statistician.
She is a surveyor.,তিনি একজন সমীক্ষক।,He is a surveyor.,તે એક સર્વેયર છે.,He is a surveyor.,वह सर्वेयर है।,He is a surveyor.,ಅವಳು ಸರ್ವೇಯರ್.,She is a surveyor.,അവൾ ഒരു സർവേയറാണ്.,She is a surveyor.,ती एक सर्व्हेअर आहे.,She is a surveyor.,उनी एक सर्वेक्षणकर्ता हुन्।,He is a surveyor.,ਉਹ ਇਕ ਨਿਰੀਖਕ ਹੈ.,He is an observer.,هوءَ سرويئر آهي.,She is the surveyor.,அவள் ஒரு சர்வேயர்.,She is a surveyor.,ఆమె ఒక సర్వేయర్.,She is a surveyor.,وہ ایک سرویئر ہے۔,He is a surveyor.
She is a therapist.,তিনি একজন থেরাপিস্ট।,He is a therapist.,તે એક ચિકિત્સક છે.,He is a physician.,वह एक थेरेपिस्ट हैं।,He is a therapist.,ಅವಳು ಚಿಕಿತ್ಸಕ.,She is a therapist.,അവൾ ഒരു തെറാപ്പിസ്റ്റാണ്.,She is a therapist.,ती एक थेरपिस्ट आहे.,She is a therapist.,उनी एक चिकित्सक हुन्।,He is a physician.,ਉਹ ਇੱਕ ਚਿਕਿਤਸਕ ਹੈ.,He is a physician.,هوءَ هڪ معالج آهي.,She is a therapist.,அவள் ஒரு சிகிச்சையாளர்.,She is a therapist.,ఆమె చికిత్సకుడు.,She is a therapist.,وہ ایک معالج ہیں۔,He is a physician.
She is an undertaker.,তিনি একজন আন্ডারটেকটার।,He is an Undertaker.,તે બાંયધરી આપનાર છે.,He is the guarantor.,वह एक उपक्रमकर्ता है।,He is an entrepreneur.,ಅವಳು ಕೆಲಸಗಾರ.,She is a worker.,അവൾ ഒരു ജോലിക്കാരിയാണ്.,She is a maid.,ती एक अंडरटेकर आहे.,She is an Undertaker.,उनी एक उपक्रमकर्ता हुन्।,He is an entrepreneur.,ਉਹ ਇਕ ਅੰਡਰਟੇਕਰ ਹੈ.,He is an Undertaker.,هوء هڪ ترديد ڪندڙ آهي.,She is an abuser.,அவள் ஒரு வேலை செய்பவள்.,She is a workaholic.,ఆమె ఒక పనివాడు.,She is a workaholic.,وہ ایک انڈر ٹیکر ہے۔,He is an Undertaker.
She is an urban planner.,তিনি একজন নগর পরিকল্পনাবিদ।,He is an urban planner.,તે એક શહેરી યોજના છે.,It is an urban plan.,वह एक शहरी योजनाकार हैं।,He is an urban planner.,ಅವಳು ನಗರ ಯೋಜಕ.,She is a city planner.,അവൾ ഒരു നഗര ആസൂത്രകയാണ്.,She is a city planner.,ती शहरी नियोजक आहे.,She is an urban planner.,उनी शहरी योजनाकार हुन्।,He is an urban planner.,ਉਹ ਇੱਕ ਸ਼ਹਿਰੀ ਯੋਜਨਾਬੰਦੀ ਕਰਨ ਵਾਲੀ ਹੈ.,She is an urban planner.,هوءَ شهري منصوبابندي آهي.,She is an urban planner.,அவர் ஒரு நகர்ப்புற திட்டமிடுபவர்.,He is an urban planner.,ఆమె అర్బన్ ప్లానర్.,She is an Urban Planner.,وہ شہری منصوبہ ساز ہے۔,She is a city planner.
She is a videographer.,তিনি একজন ভিডিওগ্রাফার।,He is a videographer.,તે એક વિડીયોગ્રાફર છે.,She is a videographer.,वह एक वीडियोग्राफर है।,He is a videographer.,ಅವಳು ವಿಡಿಯೋಗ್ರಾಫರ್.,She is a videographer.,അവൾ വീഡിയോഗ്രാഫറാണ്.,She is a videographer.,ती एक व्हिडिओग्राफर आहे.,She is a videographer.,उनी एक भिडियोग्राफर हो।,He is a videographer.,ਉਹ ਇਕ ਵੀਡੀਓਗ੍ਰਾਫਰ ਹੈ.,He is a videographer.,هوءَ هڪ ويڊيو گرافر آهي.,She is a videographer.,அவள் வீடியோகிராஃபர்.,She is a videographer.,ఆమె వీడియోగ్రాఫర్.,She is a videographer.,وہ ویڈیو گرافر ہیں۔,He is a videographer.
She is a virologist.,তিনি একজন ভাইরোলজিস্ট।,He is a virologist.,તે વાઇરોલોજીસ્ટ છે.,She is a virologist.,वह एक वायरोलॉजिस्ट हैं।,He is a virologist.,ಅವಳು ವೈರಾಲಜಿಸ್ಟ್.,She is a virologist.,അവൾ ഒരു വൈറോളജിസ്റ്റാണ്.,She is a virologist.,ती एक व्हायरोलॉजिस्ट आहे.,She is a virologist.,उनी एक भाइरोग विशेषज्ञ हुन्।,He is a virologist.,ਉਹ ਇਕ ਵਾਇਰਲੋਜਿਸਟ ਹੈ.,He is a virologist.,هوءَ وائرلوجسٽ آهي.,She is a virologist.,அவள் ஒரு வைராலஜிஸ்ட்.,She is a virologist.,ఆమె వైరాలజిస్ట్.,She is a virologist.,وہ ایک ماہر معاشیات ہے۔,He is an economist.
She is a visual artist.,তিনি একজন ভিজ্যুয়াল আর্টিস্ট।,He is a visual artist.,તે દ્રશ્ય કલાકાર છે.,He is a visual artist.,वह एक दृश्य कलाकार हैं।,He is a visual artist.,ಅವಳು ದೃಶ್ಯ ಕಲಾವಿದೆ.,She is a visual artist.,അവൾ ഒരു വിഷ്വൽ ആർട്ടിസ്റ്റാണ്.,She is a visual artist.,ती एक दृश्य कलाकार आहे.,She is a visual artist.,उनी एक दृश्य कलाकार हुन्।,He is a visual artist.,ਉਹ ਇਕ ਦਰਸ਼ਨੀ ਕਲਾਕਾਰ ਹੈ.,He is a visual artist.,هوءَ هڪ تصويري مصور آهي.,She is a portrait artist.,அவர் ஒரு காட்சி கலைஞர்.,He is a visual artist.,ఆమె విజువల్ ఆర్టిస్ట్.,She is a visual artist.,وہ ایک بصری فنکار ہے۔,She is a visual artist.
She is a waiter.,তিনি একজন ওয়েটার।,He is a waiter.,તે વેઈટર છે.,He is a waiter.,वह एक वेटर है।,he is a waiter.,ಅವಳು ಮಾಣಿ.,She's the waiter.,അവൾ ഒരു വെയിറ്ററാണ്.,She is a waiter.,ती एक वेटर आहे.,She is a waiter.,उनी एक वेटर हुन्।,He is a waiter.,ਉਹ ਇੱਕ ਵੇਟਰ ਹੈ.,He is a waiter.,هوءَ ويٽر آهي.,She is the waiter,அவள் ஒரு பணியாளர்.,She is an employee.,ఆమె వెయిటర్.,She is a waiter.,وہ ایک ویٹر ہے۔,She is a waiter.
She is a web designer.,তিনি একজন ওয়েব ডিজাইনার।,He is a web designer.,તે વેબ ડિઝાઇનર છે.,She is a web designer.,वह एक वेब डिजाइनर हैं।,He is a web designer.,ಅವಳು ವೆಬ್ ಡಿಸೈನರ್.,She is a web designer.,അവൾ ഒരു വെബ് ഡിസൈനറാണ്.,She is a web designer.,ती एक वेब डिझायनर आहे.,She is a web designer.,उनी वेब डिजाइनर हुन्।,She is a web designer.,ਉਹ ਇੱਕ ਵੈੱਬ ਡਿਜ਼ਾਈਨਰ ਹੈ.,She is a web designer.,هوءَ ويب ڊزائنر آهي.,She is a web designer.,அவர் ஒரு வலை வடிவமைப்பாளர்.,He is a web designer.,ఆమె వెబ్ డిజైనర్.,She is a web designer.,وہ ایک ویب ڈیزائنر ہے۔,She is a web designer.
She is a web developer.,তিনি একজন ওয়েব বিকাশকারী।,He is a web developer.,તે વેબ ડેવલપર છે.,He is a web developer.,वह एक वेब डेवलपर हैं।,He is a web developer.,ಅವಳು ವೆಬ್ ಡೆವಲಪರ್.,She is a web developer.,അവൾ ഒരു വെബ് ഡെവലപ്പർ ആണ്.,She is a web developer.,ती एक वेब विकसक आहे.,She is a web developer.,उनी वेब विकासकर्ता हुन्।,He is a web developer.,ਉਹ ਇੱਕ ਵੈੱਬ ਵਿਕਾਸਕਾਰ ਹੈ.,He is a web developer.,هوءَ ويب ڊولپر آهي.,She is a web developer.,அவர் ஒரு வலை டெவலப்பர்.,He is a web developer.,ఆమె వెబ్ డెవలపర్.,She is a web developer.,وہ ایک ویب ڈویلپر ہے۔,She is a web developer.
She is a zoologist.,তিনি একজন প্রাণিবিদ।,He is a zoologist.,તે પ્રાણીશાસ્ત્રી છે.,He is a zoologist.,वह एक जूलॉजिस्ट हैं।,He is a zoologist.,ಅವಳು ಪ್ರಾಣಿಶಾಸ್ತ್ರಜ್ಞ.,She is a zoologist.,അവൾ ഒരു സുവോളജിസ്റ്റാണ്.,She is a zoologist.,ती प्राणीशास्त्रज्ञ आहे.,She is a zoologist.,उनी एक प्राणीशास्त्री हुन्।,He is a zoologist.,ਉਹ ਇੱਕ ਜੀਵ-ਵਿਗਿਆਨੀ ਹੈ।,He is a biologist.,هوءَ زولاجيجسٽ آهي.,She is a zoologist.,அவள் விலங்கியல் நிபுணர்.,She is a zoologist.,ఆమె జువాలజిస్ట్.,She is a zoologist.,وہ ایک ماہر حیاتیات ہیں۔,She is a biologist.
